Entity ID,Entity,Payoff,Product IDs,Internal Product ID,Product Name,Underlying(s),Product Creator,Product Create Time,Product Modify Time,Traded,KID Creator,KID Lang,KID Publish Time,Notional CCY,Notional Amount,FX Rate,Notional (EUR),Moderate Price (%),Moderate Return,RIY @RHP (%),KID Date,SRI
73,CA-CIB,EMTN - Autocall Basic,ISIN Code-FR9347FS4768,95802, Athena Oxgene 6Y et demi," SX5E Index, SPX Index, CAC index",Pasquet Natacha,9/10/2018,9/13/2018,Traded,NULL,NULL,NULL,EUR,NULL,1,NULL,106.88,1.03,0.14,9/13/2018,5
73,CA-CIB,EMTN - Autocall Basic,Trade Local ID-6wwS1dqB,95091, Climber Reload QTR 8Y - Total Sa 450k, FP FP Equity,Pasquet Natacha,7/4/2018,7/5/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,110.77,1.29,0.65,7/5/2018,5
73,CA-CIB,EMTN - Autocall Basic,ISIN Code-XS1719278548,92494, EMTN - Autocall Basic (JSS)," AMZN UQ Equity, DIS UN Equity, NFLX UQ Equity",NULL,3/2/2018,5/4/2018,Traded,NULL,NULL,NULL,EUR,NULL,1,NULL,105.16,9.67,0,5/22/2018,4
73,CA-CIB,EMTN - Autocall Basic,ISIN Code-Order of - WRXvWmiG,92520, EMTN - Autocall Basic (JSS) - Fr," AMZN UQ Equity, DIS UN Equity, NFLX UQ Equity",NULL,3/5/2018,5/4/2018,Traded,NULL,NULL,NULL,EUR,NULL,1,NULL,103.26,NULL,1.69,3/5/2018,4
73,CA-CIB,EMTN - CLN on Single,Internal Code-V7AEIt2R,94389, EMTN - CLN on Brazil," US0003M Index, BRGV5YUSAC=R",NULL,5/31/2018,6/7/2018,Traded,NULL,NULL,NULL,USD,718000,1.1791,608939.0213,155.68,9.17,1.28,6/7/2018,5
73,CA-CIB,EMTN - FX Participation Note,Internal Code-Order For : of - PHSwCQSb,95797,(Copy of Support)EMTN - FX Participation Note," USDBRL Curncy, USDRUB Curncy, USDTRY Curncy, USDZAR Curncy",dev dev,9/10/2018,9/19/2018,,NULL,NULL,NULL,USD,NULL,1.1667,NULL,100,0,0.68,9/19/2018,2
73,CA-CIB,EMTN - Dual Currency Note,Internal Code-tSxz0kng,95926,(Sep2018) 1M EUR based Dual Currency Note on EURHKD (SP67), EURHKD Curncy,BANODKAR Nandan,9/19/2018,9/20/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,100.01,0.09,1.29,9/20/2018,3
73,CA-CIB,EMTN - Dual Currency Note,Internal Code-qzi4vTsw,95925,(Sep2018) 1M EUR based Dual Currency Note on EURSGD (SP67), EURSGD Curncy,BANODKAR Nandan,9/19/2018,9/19/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,100.04,0.47,1.23,9/19/2018,3
73,CA-CIB,EMTN - Autocall Basic,Trade Local ID-Order For : of - b668f743-3e52-4ac1-919e-5d2f84e6b9b8,95465,001 - Copy of AUTOCALLABLE- TEST," TSCO LN Equity, BATS LN Equity, MKS LN Equity",Prodromos Kampouridis,8/7/2018,8/7/2018,,NULL,NULL,NULL,GBP,NULL,0.88398,NULL,104.28,2.11,1.28,8/30/2018,4
73,CA-CIB,EMTN - Digital Note (Equity),Internal Code-Order For : of - zvXmnn9z,95422,01Alex Copy of EMTN - Digital Note (Equity), DE717722 Index,Alex Borohov,8/2/2018,8/2/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
